Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MGM,"MGM Resorts International",32.46,0,0.00%,33.38,32.26,6287600,2022-10-20
MHK,"Mohawk Industries",92.5,-2.45,-2.58%,97.375,92.0571,537800,2022-10-20
MKC,"Mccormick & Company",72.79,-1.9,-2.54%,75.14,72.75,1156700,2022-10-20
MKTX,"Marketaxess Holdings",231.48,-1.99,-0.85%,238.98,230.48,336300,2022-10-20
MLM,"Martin Marietta Materials",304.23,-9.11,-2.91%,315.72,303.14,244600,2022-10-20
MMC,"Marsh & Mclennan Companies",154.56,-2.41,-1.54%,159,154.07,1973900,2022-10-20
MMM,"3M Company",113.11,-1.09,-0.95%,115.65,112.89,3142800,2022-10-20
MNST,"Monster Beverage Cp",87.01,-1.23,-1.39%,88.96,86.98,2203500,2022-10-20
MO,"Altria Group",43.56,-1.11,-2.48%,44.95,43.52,9710200,2022-10-20
MOH,"Molina Healthcare Inc",354.36,1.15,+0.33%,359.74,351.08,530100,2022-10-20
MOS,"Mosaic Company",51.53,0.81,+1.60%,52.56,50.38,2905400,2022-10-20
MPC,"Marathon Petroleum Corp",109.34,0.47,+0.43%,111.61,108.605,2733100,2022-10-20
MPWR,"Monolithic Power Sys",317.44,2.61,+0.83%,325.75,313.43,536100,2022-10-20
MRK,"Merck & Company",92.94,-0.32000000000001,-0.34%,93.4,92.36,7626000,2022-10-20
MRNA,"Moderna Inc",118.38,-5.14,-4.16%,124.69,118.31,5497700,2022-10-20
MRO,"Marathon Oil Corp",28.23,-0.12,-0.42%,29.175,28.1,11273700,2022-10-20
MS,"Morgan Stanley",76.6,-1.04,-1.34%,78.54,76.14,7638200,2022-10-20
MSCI,"MSCI Inc",393.66,-5.13,-1.29%,399.47,390.38,541900,2022-10-20
MSFT,"Microsoft Corp",236.15,-0.33,-0.14%,241.31,234.87,21811000,2022-10-20
MSI,"Motorola Solutions",221.17,-2.68,-1.20%,224.46,219.79,653800,2022-10-20
MTB,"M&T Bank Corp",161.4,-1.66,-1.02%,167.26,160.655,2931600,2022-10-20
MTCH,"Match Group Inc",42.7,-2.03,-4.54%,45.89,42.61,5809300,2022-10-20
MTD,"Mettler-Toledo International",1143.9,-23.07,-1.98%,1184.4399,1135.47,102300,2022-10-20
MU,"Micron Technology",53.7,0.67,+1.26%,55.1,53.17,15711801,2022-10-20
NCLH,"Norwegian Cruise Ord",14.23,0.32,+2.30%,14.6385,14.02,15764700,2022-10-20
NDAQ,"Nasdaq Inc",56.84,0.84,+1.50%,57.12,55.94,2137100,2022-10-20
NDSN,"Nordson Corp",211.51,-5.25,-2.42%,217.92,211.13,159200,2022-10-20
NEE,"Nextera Energy",70.64,-3,-4.07%,73.48,69.808,13023800,2022-10-20
NEM,"Newmont Mining Corp",41.14,0.77,+1.91%,42.09,40.3828,5802800,2022-10-20
NFLX,"Netflix Inc",268.16,-4.22,-1.55%,278.38,266.38,17207100,2022-10-20
NI,"NiSource Inc",24.15,-0.73,-2.93%,24.83,24.075,6303100,2022-10-20
NKE,"Nike Inc",86.83,-1.74,-1.96%,90.58,86.605,13500000,2022-10-20
NLOK,"Nortonlifelock Inc",21.6,0.09,+0.42%,21.77,21.49,2787700,2022-10-20
NOC,"Northrop Grumman Corp",512.44,1.53,+0.30%,516.49,509.156,878000,2022-10-20
NOW,"Servicenow Inc",356.26,0.81999999999999,+0.23%,366.4699,351.04,1655600,2022-10-20
NRG,"NRG Energy",40.72,-1.24,-2.96%,42.04,40.62,2249400,2022-10-20
NSC,"Norfolk Southern Corp",204.87,-12.75,-5.86%,217.125,203.65,3397600,2022-10-20
NTAP,"Netapp Inc",62.48,0.19,+0.31%,63.69,62.12,1606500,2022-10-20
NTRS,"Northern Trust Corp",77.21,-2.38,-2.99%,80.14,77.11,2068500,2022-10-20
NUE,"Nucor Corp",124.92,3.03,+2.49%,126.4155,116.0819,3323900,2022-10-20
NVDA,"Nvidia Corp",121.94,1.43,+1.19%,127.69,121.05,65239699,2022-10-20
NVR,"NVR Inc",3959.55,-18.3001,-0.46%,4053.6899,3945.3701,21800,2022-10-20
NWL,"Newell Rubbermaid Inc",14.73,-0.3,-2.00%,15.07,14.6,3045400,2022-10-20
NWS,"News Cp Cl B",16.91,0.16,+0.96%,17,16.6,1317800,2022-10-20
NWSA,"News Cp Cl A",16.69,0.1,+0.60%,16.9,16.39,3862500,2022-10-20
NXPI,"Nxp Semiconductors",139.04,-2.28,-1.61%,143.74,138.57,2895700,2022-10-20
O,"Realty Income Corp",57.47,-0.36,-0.62%,58.33,57.45,3185100,2022-10-20
ODFL,"Old Dominion Freight Line Inc",257.65,-3.11,-1.19%,265.08,250.38,1107800,2022-10-20
OGN,"Organon & CO",23.56,-0.24,-1.01%,23.75,23.3801,1121200,2022-10-20
OKE,"Oneok Inc",55.07,-0.07,-0.13%,55.9,54.49,2697500,2022-10-20
OMC,"Omnicom Group Inc",67.97,-0.44,-0.64%,69.59,67.43,1537800,2022-10-20
ON,"On Semiconductor",61.52,0.75,+1.23%,63.26,60.44,5535100,2022-10-20
ORCL,"Oracle Corp",69.25,2.95,+4.45%,69.92,67.19,17600500,2022-10-20
ORLY,"O'Reilly Automotive",730.92,-6.8,-0.92%,742.01,727.43,427800,2022-10-20
OTIS,"Otis Worldwide Corp",64.75,-1.53,-2.31%,66.705,64.67,1923200,2022-10-20
OXY,"Occidental Petroleum Corp",68.85,0.39,+0.57%,70.48,68.2816,15403000,2022-10-20
PARA,"Paramount Global Cl B",19.11,0.03,+0.16%,19.58,18.98,5938600,2022-10-20
PAYC,"Paycom Software Inc",318.31,-2.19,-0.68%,329.19,314.195,349200,2022-10-20
PAYX,"Paychex Inc",111.06,-0.39,-0.35%,113,110.38,1233400,2022-10-20
PCAR,"Paccar Inc",87.57,-3.17,-3.49%,91,87.32,1833400,2022-10-20
PCG,"Pacific Gas & Electric Company",14.04,0.079999999999998,+0.57%,14.1,13.885,14518300,2022-10-20
PEAK,"Healthpeak Properties Inc",22.45,-0.11,-0.49%,22.86,22.315,3920200,2022-10-20
PEG,"Public Service Enterprise Group Inc",53.77,-1.03,-1.88%,54.79,53.5,3437200,2022-10-20
PEP,"Pepsico Inc",171.46,-1.9,-1.10%,174.36,171.11,4313900,2022-10-20
PFE,"Pfizer Inc",42.91,-0.2,-0.46%,43.41,42.8226,17714900,2022-10-20
PFG,"Principal Financial Group Inc",77.56,-1.21,-1.54%,79.6,77.51,1767200,2022-10-20
PG,"Procter & Gamble Company",126.99,-2.57,-1.98%,129.77,126.68,8167900,2022-10-20
PGR,"Progressive Corp",118.86,-2.34,-1.93%,120.52,118.01,2502000,2022-10-20
PH,"Parker-Hannifin Corp",259.91,-5.67,-2.13%,268.82,258.93,861300,2022-10-20
PHM,Pultegroup,36.59,-0.56999999999999,-1.53%,38.2,36.5,2134900,2022-10-20
PKG,"Packaging Corp of America",112.87,-1.53,-1.34%,115.73,112.52,448700,2022-10-20
PKI,Perkinelmer,125.93,-1.73,-1.36%,129.59,125.02,575800,2022-10-20
PLD,"Prologis Inc",102.46,0.44999999999999,+0.44%,105.39,101.88,4282600,2022-10-20
PM,"Philip Morris International Inc",85.03,-1.44,-1.67%,86.69,84.52,4846000,2022-10-20
PNC,"PNC Bank",147.98,-3.72,-2.45%,152.97,147.07,1952100,2022-10-20
PNR,"Pentair Ltd",39.01,-1.12,-2.79%,41.1,38.91,2590800,2022-10-20
PNW,"Pinnacle West Capital Corp",62.65,-1.4,-2.19%,64.065,62.39,661700,2022-10-20
POOL,"Pool Corp",283.92,-14.2,-4.76%,307.76,279.28,1643200,2022-10-20
PPG,"PPG Industries",108.41,-6.23,-5.43%,115.26,107.4,3326800,2022-10-20
PPL,"PPL Corp",24.99,-0.34,-1.34%,25.44,24.785,4805400,2022-10-20
PRU,"Prudential Financial Inc",95.2,-1.22,-1.27%,97.5,94.74,1674700,2022-10-20
PSA,"Public Storage",293.09,2.19,+0.75%,295.62,291.37,840200,2022-10-20
PSX,"Phillips 66",97.74,-0.21000000000001,-0.21%,99.9,97.47,3033500,2022-10-20
PTC,"Ptc Inc",108.21,-0.41,-0.38%,110.71,107.18,460900,2022-10-20
PWR,"Quanta Services",130.74,-1.83,-1.38%,134.07,130.33,706100,2022-10-20
PXD,"Pioneer Natural Resources Company",254.02,3.47,+1.38%,257.12,250.04,2095600,2022-10-20
PYPL,"Paypal Holdings",84.78,0.31,+0.37%,87.6,84,10581800,2022-10-20
QCOM,"Qualcomm Inc",111.98,-0.87,-0.77%,116.09,111.72,7736400,2022-10-20
QRVO,"Qorvo Inc",82.12,0.34,+0.42%,84.21,81.65,875400,2022-10-20
RCL,"Royal Caribbean Cruises Ltd",47.52,0.83000000000001,+1.78%,48.9811,46.81,5341600,2022-10-20
RE,"Everest Re Group",270.01,-9.67,-3.46%,276.67,269.79,339700,2022-10-20
REG,"Regency Centers Corp",54.31,-0.01,-0.02%,55.08,54.03,603500,2022-10-20
REGN,"Regeneron Pharmaceuticals",705.89,-3.48,-0.49%,713.16,702.44,480900,2022-10-20
RF,"Regions Financial Corp",19.74,-1.16,-5.55%,21.1,19.61,16959600,2022-10-20
RHI,"Robert Half International Inc",79.84,-0.98999999999999,-1.22%,83.05,79.66,1920400,2022-10-20
RJF,"Raymond James Financial",98.06,-1.94,-1.94%,101.08,97.86,1384600,2022-10-20
RL,"Ralph Lauren Corp",89.7,-2.08,-2.27%,94.485,89.42,831300,2022-10-20
RMD,"Resmed Inc",217.42,2.12,+0.98%,221.51,215.475,721900,2022-10-20
ROK,"Rockwell Automation Inc",225.21,-8.72,-3.73%,234.82,224.645,768700,2022-10-20
ROL,"Rollins Inc",35.99,-0.89,-2.41%,37.08,35.65,1296900,2022-10-20
ROP,"Roper Industries",367.41,-4.02,-1.08%,373.87,366.845,451300,2022-10-20
ROST,"Ross Stores Inc",82.49,-1.17,-1.40%,85.23,82.35,1716200,2022-10-20
RSG,"Republic Services",132.29,-1.69,-1.26%,134.37,131.745,753600,2022-10-20
RTX,"Raytheon Technologies Corp",87.24,-0.39,-0.45%,88.4375,86.8,3663100,2022-10-20
SBAC,"SBA Communications",247.96,-4.53,-1.79%,252.46,244.1,1619400,2022-10-20
SBNY,"Signature Bank",142.66,-9.63,-6.32%,154.02,142.4,1175200,2022-10-20
SBUX,"Starbucks Corp",86.79,-0.73,-0.83%,88.23,86.47,4540600,2022-10-20
SCHW,"The Charles Schwab Corp",68,-0.70999999999999,-1.03%,69.98,67.83,7761700,2022-10-20
SEDG,"Solaredge Tech",197.84,-1.62,-0.81%,203.85,194.14,1029000,2022-10-20
SEE,"Sealed Air Corp",45.93,-1.7,-3.57%,47.85,45.635,1023800,2022-10-20
SHW,"Sherwin-Williams Company",201.22,-6.02,-2.90%,208.7967,199.79,1704800,2022-10-20
SIVB,"Svb Financial Group",302.46,-12.91,-4.09%,321.82,301.88,1400400,2022-10-20
SJM,"J.M. Smucker Company",141.05,-1.99,-1.39%,143.12,140.78,678200,2022-10-20
SLB,"Schlumberger N.V.",45.69,0.22,+0.48%,46.23,45.235,15915700,2022-10-20
SNA,"Snap-On Inc",203.14,-10.56,-4.94%,212.995,203.12,637900,2022-10-20
SNPS,"Synopsys Inc",289.71,0.75,+0.26%,296.32,286.56,669200,2022-10-20
SO,"Southern Company",63.5,-1.19,-1.84%,65.04,63.39,4098600,2022-10-20
SPG,"Simon Property Group",98.31,0.28,+0.29%,100.94,98.2,2096500,2022-10-20
SPGI,"S&P Global Inc",292.03,-4.84,-1.63%,299.89,290.46,1628100,2022-10-20
SRE,Sempra,139.74,-4,-2.78%,143.24,139.23,1586500,2022-10-20
STE,"Steris Corp",165.85,-1.28,-0.77%,168.53,165.03,448700,2022-10-20
STT,"State Street Corp",64.86,0.29000000000001,+0.45%,66.4,64.26,2871100,2022-10-20
STX,"Seagate Technology Hldgs Plc",53.03,0.18,+0.34%,54.95,52.78,2690200,2022-10-20
STZ,"Constellation Brands Inc",222.53,-0.72999999999999,-0.33%,224.13,221.66,1099300,2022-10-20
SWK,"Stanley Black & Decker Inc",72.15,-1.94,-2.62%,75.97,72.08,1783300,2022-10-20
SWKS,"Skyworks Solutions",81.44,-0.25,-0.31%,83.89,81.07,1893100,2022-10-20
SYF,"Synchrony Financial",31.56,-0.030000000000001,-0.09%,32.55,31.48,5179900,2022-10-20
SYK,"Stryker Corp",214.44,-2.25,-1.04%,219.26,212.62,1332100,2022-10-20
SYY,"Sysco Corp",77.2,-0.25,-0.32%,78.25,76.546,4385500,2022-10-20
T,"AT&T Inc",16.74,1.2,+7.72%,17.16,16.12,117495700,2022-10-20
TAP,"Molson Coors Brewing Company",48.24,-0.07,-0.14%,48.65,48.0001,910500,2022-10-20
TDG,"Transdigm Group Inc",531.02,-10.48,-1.94%,543.28,528.2632,198100,2022-10-20
TDY,"Teledyne Technologies Inc",340.49,-8.02,-2.30%,349.49,338.96,196800,2022-10-20
TECH,"Bio-Techne Cp",282.13,-7.89,-2.72%,292.95,281.93,251700,2022-10-20
TEL,"Te Connectivity Ltd",110.91,-1.12,-1.00%,113.96,110.1797,1152000,2022-10-20
TER,"Teradyne Inc",73.95,0.77,+1.05%,75.6,73.17,1455900,2022-10-20
TFC,"Truist Financial Corp",40.42,-2.02,-4.76%,42.77,40.28,10601400,2022-10-20
TFX,"Teleflex Inc",193.67,-4.23,-2.14%,200.485,193.44,441800,2022-10-20
TGT,"Target Corp",154.4,-0.98999999999998,-0.64%,159.16,153.42,3079900,2022-10-20
TJX,"TJX Companies",65.36,-0.73999999999999,-1.12%,66.83,65.2,3985200,2022-10-20
TMO,"Thermo Fisher Scientific Inc",486.86,-18.75,-3.71%,502.17,485.56,3267300,2022-10-20
TMUS,"T-Mobile US",136.02,0.28,+0.21%,137.27,134.96,4800500,2022-10-20
TPR,"Tapestry Inc",30.48,-0.13,-0.42%,31.91,30.355,3427100,2022-10-20
TRGP,"Targa Resources",65.77,-1.35,-2.01%,67.46,65.17,1736600,2022-10-20
TRMB,"Trimble Navigation",53.49,-1.34,-2.44%,55.6,53.33,687400,2022-10-20
TROW,"T Rowe Price Group",99.72,-1.43,-1.41%,102.73,99.36,1457500,2022-10-20
TRV,"The Travelers Companies Inc",170.87,-3.3,-1.89%,173.87,170.03,1702200,2022-10-20
TSCO,"Tractor Supply Company",189.53,-6.79,-3.46%,199,187.29,2507100,2022-10-20
TSLA,"Tesla Inc",207.28,-14.76,-6.65%,215.55,202,117798000,2022-10-20
TSN,"Tyson Foods",64.6,-0.42,-0.65%,66.01,64.47,1912800,2022-10-20
TT,"Trane Technologies Plc",140.26,-4.88,-3.36%,144.9,139.49,1378400,2022-10-20
TTWO,"Take-Two Interactive",123.89,1.39,+1.13%,127.08,122.55,1435800,2022-10-20
TWTR,"Twitter Inc",52.44,0.61,+1.18%,52.7,51.6,25461000,2022-10-20
TXN,"Texas Instruments",153.72,1.07,+0.70%,156.78,152.41,6506300,2022-10-20
TXT,"Textron Inc",60.94,-0.90000000000001,-1.46%,62.44,60.79,1237300,2022-10-20
TYL,"Tyler Technologies",334.56,-1.81,-0.54%,342.34,331.575,199200,2022-10-20
UAL,"United Airlines Holdings Inc",39.05,-0.05,-0.13%,40.19,38.95,13004199,2022-10-20
UDR,"United Dominion Realty Trust",38.89,0.030000000000001,+0.08%,39.52,38.68,2590200,2022-10-20
UHS,"Universal Health Services",94.05,-1,-1.05%,96.56,93.82,438400,2022-10-20
ULTA,"Ulta Beauty Inc",381.59,-4.67,-1.21%,398.08,381.28,914500,2022-10-20
UNH,"Unitedhealth Group Inc",520.88,0.55999999999995,+0.11%,529.42,519.78,2390800,2022-10-20
UNP,"Union Pacific Corp",186.45,-13.61,-6.80%,194.78,185.83,6103200,2022-10-20
UPS,"United Parcel Service",160.98,-4.81,-2.90%,165.22,160.32,2832600,2022-10-20
URI,"United Rentals",275.38,-11.47,-4.00%,289.4899,274.04,956800,2022-10-20
USB,"U.S. Bancorp",40.01,-1.25,-3.03%,41.66,39.91,10508000,2022-10-20
V,"Visa Inc",187.22,0.81,+0.43%,190.98,186.43,5706800,2022-10-20
VFC,"V.F. Corp",27.58,-0.87,-3.06%,29.15,27.47,6697200,2022-10-20
VICI,"Vici Properties Inc",29.69,0.29,+0.99%,29.995,29.31,5865200,2022-10-20
VLO,"Valero Energy Corp",124.44,0.48,+0.39%,126.96,122.75,4177600,2022-10-20
VMC,"Vulcan Materials Company",149.16,-5.61,-3.62%,156.25,149.06,928000,2022-10-20
VNO,"Vornado Realty Trust",21.84,0.25,+1.16%,22.16,21.53,2800000,2022-10-20
VRSK,"Verisk Analytics Inc",165.69,-3.67,-2.17%,169.47,164.51,834800,2022-10-20
VRSN,"Verisign Inc",178.67,-3.43,-1.88%,183.85,178.58,696700,2022-10-20
VRTX,"Vertex Pharmaceutic",290.16,-1.86,-0.64%,295.55,289.18,1000900,2022-10-20
VTR,"Ventas Inc",37.44,0.32,+0.86%,37.8,37.04,1668200,2022-10-20
VTRS,"Viatris Inc",9.34,-0.04,-0.43%,9.5,9.3,4399900,2022-10-20
VZ,"Verizon Communications Inc",37,0.43,+1.18%,37.535,36.55,35523600,2022-10-20
WAB,"Wabtec Corp",83.98,-3.12,-3.58%,87.24,83.76,832200,2022-10-20
WAT,"Waters Corp",275.01,-2.35,-0.85%,282.305,272.015,417600,2022-10-20
WBA,"Walgreens Boots Alliance",33.36,-0.03,-0.09%,34.03,33.32,6223500,2022-10-20
WBD,"Discovery Inc Series A",12.92,0.31,+2.46%,13.22,12.45,23298199,2022-10-20
WDC,"Western Digital Cp",33.47,0.11,+0.33%,34.36,33.02,4074300,2022-10-20
WEC,"Wisconsin Energy Corp",85.44,-1.33,-1.53%,87.01,85.11,1690600,2022-10-20
WELL,"Welltower Inc",58.98,-0.35,-0.59%,59.91,58.6,1832400,2022-10-20
WFC,"Wells Fargo & Company",43.65,0.030000000000001,+0.07%,44.43,43.5,17572600,2022-10-20
WHR,"Whirlpool Corp",131.33,-6.45,-4.68%,139.985,130.52,2536600,2022-10-20
WM,"Waste Management",159.28,-2.22,-1.37%,162.5499,158.63,1302400,2022-10-20
WMB,"Williams Companies",30.9,0.02,+0.06%,31.24,30.56,9037800,2022-10-20
WMT,"Walmart Inc",134.09,0.33000000000001,+0.25%,135.4,133.645,4251600,2022-10-20
WRB,"W.R. Berkley Corp",70.26,-1.2,-1.68%,70.955,69.9318,1016600,2022-10-20
WRK,"Westrock Company",31.99,-0.48,-1.48%,32.99,31.785,1302000,2022-10-20
WST,"West Pharmaceutical Services",231.3,-12.34,-5.06%,243.49,230.831,889700,2022-10-20
WTW,"Willis Towers Watson Public Ltd CO",205.48,-3.08,-1.48%,208.48,205.12,435400,2022-10-20
WY,"Weyerhaeuser Company",28.94,-0.11,-0.38%,29.48,28.85,3969000,2022-10-20
WYNN,"Wynn Resorts Ltd",56.13,1.65,+3.03%,58.08,54.69,4988600,2022-10-20
XEL,"XCEL Energy Inc",59.72,-1.38,-2.25%,61.78,59.4,6537600,2022-10-20
XOM,"Exxon Mobil Corp",103.93,0.14,+0.13%,105,103.41,17649000,2022-10-20
XRAY,"Dentsply Sirona Inc",28.64,-0.18,-0.62%,29.37,28.61,1996200,2022-10-20
XYL,"Xylem Inc",91.04,-1.86,-2.00%,93.22,90.46,771000,2022-10-20
YUM,"Yum! Brands",109.66,-0.79000000000001,-0.72%,111.12,109.4,969300,2022-10-20
ZBH,"Zimmer Biomet Holdings",106.33,-1.79,-1.66%,108.87,106.0804,915000,2022-10-20
ZBRA,"Zebra Technologies",256.23,-4.23,-1.62%,265.93,253.55,311600,2022-10-20
ZION,"Zions Bancorp",47.13,-2.09,-4.25%,49.64,46.68,2301100,2022-10-20
ZTS,"Zoetis Inc Cl A",144.43,-3.7,-2.50%,148.22,144.17,2327100,2022-10-20
"Downloaded from Barchart.com as of 10-21-2022 02:55am CDT"
