GVKEY,CIQID,,Company Name
260846,IQ9173204,,John Hancock Tax-Advantaged Dividend Income Fund (NYSE:HTD)
160776,IQ913010,,Signature Bank (NasdaqGS:SBNY)
126417,IQ91192,,Finisar Corporation
180423,IQ91183,,"LendingTree, Inc. (NasdaqGS:TREE)"
170904,IQ9114053,,"Tumi Holdings, Inc."
137131,IQ91093,,"Charles River Laboratories International, Inc. (NYSE:CRL)"
12886,IQ91031,,TFCF Corporation
175263,IQ909408,,The Western Union Company (NYSE:WU)
133766,IQ90442,,"HealthStream, Inc. (NasdaqGS:HSTM)"
121077,IQ90323,,"F5, Inc. (NasdaqGS:FFIV)"
160288,IQ9029574,,"Lazard Global Total Return and Income Fund, Inc. (NYSE:LGI)"
260778,IQ9026347,,"WellCare Health Plans, Inc."
163889,IQ901985,,"AtriCure, Inc. (NasdaqGM:ATRC)"
143640,IQ901598,,"Kinder Morgan Management, LLC"
18510,IQ9004482,,Acceleron Pharma Inc.
175688,IQ899285,,Intact Insurance Group USA Holdings Inc.
160305,IQ8974665,,Allspring Utilities and High Income Fund (NYSEAM:ERH)
176092,IQ896178,,AerCap Holdings N.V. (NYSE:AER)
3121,IQ89450,,The Clorox Company (NYSE:CLX)
162129,IQ890498,,The Mosaic Company (NYSE:MOS)
187696,IQ890375,,"Proto Labs, Inc. (NYSE:PRLB)"
143912,IQ885779,,"Axon Enterprise, Inc. (NasdaqGS:AXON)"
296318,IQ884401,,Ocean Rig UDW Inc.
2698,IQ884393,,Canadian Pacific Railway Limited (TSX:CP)
223911,IQ883270,,"NTT DOCOMO, INC."
108831,IQ883130,,Westport Fuel Systems Inc. (TSX:WPRT)
220211,IQ882761,,ICL Group Ltd (TASE:ICL)
115044,IQ882318,,Algonquin Power & Utilities Corp. (TSX:AQN)
205692,IQ882216,,Barrick Gold (Holdings) Limited
130618,IQ881430,,Pembina Pipeline Corporation (TSX:PPL)
205874,IQ880587,,Companhia de Saneamento Básico do Estado de São Paulo - SABESP (BOVESPA:SBSP3)
30075,IQ880530,,Vermilion Energy Inc. (TSX:VET)
62337,IQ880318,,IAMGOLD Corporation (TSX:IMG)
157679,IQ8793945,,"Spirit Realty Capital, Inc. (NYSE:SRC)"
171002,IQ8793244,,"Globus Medical, Inc. (NYSE:GMED)"
29135,IQ879180,,Baytex Energy Corp. (TSX:BTE)
26539,IQ877535,,Eldorado Gold Corporation (TSX:ELD)
108326,IQ876635,,Silvercorp Metals Inc. (TSX:SVM)
105661,IQ876533,,Kirkland Lake Gold Ltd.
20684,IQ876290,,Obsidian Energy Ltd. (TSX:OBE)
20683,IQ875838,,Pengrowth Energy Corporation
14390,IQ875612,,Fortis Inc. (TSX:FTS)
106486,IQ875530,,PolyMet Mining Corp. (TSX:POM)
201792,IQ875297,,Centrais Elétricas Brasileiras S.A. - Eletrobrás (BOVESPA:ELET6)
203890,IQ874652,,Tata Motors Limited (BSE:500570)
100718,IQ874540,,Takeda Pharmaceutical Company Limited (TSE:4502)
209382,IQ874225,,Vale S.A. (BOVESPA:VALE3)
165052,IQ8740684,,"Under Armour, Inc. (NYSE:UAA)"
20214,IQ874055,,Enerplus Corporation (TSX:ERF)
101276,IQ873861,,Stellantis N.V. (BIT:STLA)
15582,IQ873647,,The Bank of Nova Scotia (TSX:BNS)
1414,IQ869527,,"Primerica, Inc. (NYSE:PRI)"
32382,IQ8690249,,"Roku, Inc. (NasdaqGS:ROKU)"
6742,IQ867423,,Lincoln National Corporation (NYSE:LNC)
186392,IQ864032,,"SeaWorld Entertainment, Inc. (NYSE:SEAS)"
176404,IQ862598,,"Spectrum Management Holding Company, LLC"
157415,IQ8610803,,ZF TRW Automotive Holdings Corp.
158354,IQ8598029,,"Genworth Financial, Inc. (NYSE:GNW)"
176861,IQ8591867,,"Orexigen Therapeutics, Inc."
186717,IQ85076655,,360 Security Technology Inc. (SHSE:601360)
33652,IQ84603703,,Skyline Champion Corporation (NYSE:SKY)
144119,IQ845679,,Certegy Inc.
162449,IQ843132,,"ExlService Holdings, Inc. (NasdaqGS:EXLS)"
18291,IQ8419675,,Control4 Corporation
180402,IQ841685,,"HSN, Inc."
23650,IQ84159238,,Shopify Inc. (NYSE:SHOP)
26367,IQ83920810,,"Block, Inc. (NYSE:SQ)"
184957,IQ83911530,,Workhorse Group Inc. (NasdaqCM:WKHS)
264645,IQ8387586,,Calamos Strategic Total Return Fund (NasdaqGS:CSQ)
18900,IQ83348051,,"Zulily, LLC"
20228,IQ83345566,,"Catalent, Inc. (NYSE:CTLT)"
65796,IQ831697,,"MidWestOne Financial Group, Inc. (NasdaqGS:MOFG)"
185624,IQ831552,,"Spirit Airlines, Inc. (NYSE:SAVE)"
178106,IQ8285067,,WuXi PharmaTech (Cayman) Inc.
157955,IQ8251227,,Assured Guaranty Ltd. (NYSE:AGO)
183942,IQ82392972,,Sensata Technologies Holding plc (NYSE:ST)
187363,IQ82311805,,"Groupon, Inc. (NasdaqGS:GRPN)"
164471,IQ821389,,Restaurant Brands International Inc. (NYSE:QSR)
20515,IQ8186263,,Markit Ltd.
17688,IQ81690022,,"Receptos, Inc."
29099,IQ816889,,Regency Centers Corporation (NasdaqGS:REG)
184689,IQ81683203,,"Golub Capital BDC, Inc. (NasdaqGS:GBDC)"
287882,IQ8142536,,Ecopetrol S.A. (BVC:ECOPETROL)
63058,IQ813609,,"SB Financial Group, Inc. (NasdaqCM:SBFG)"
142248,IQ813607,,"América Móvil, S.A.B. de C.V. (BMV:AMX L)"
141913,IQ813574,,Global Payments Inc. (NYSE:GPN)
142339,IQ813573,,Thunderbird Resources Equity Inc.
150562,IQ812576,,"Natural Gas Services Group, Inc. (NYSE:NGS)"
177267,IQ8106523,,TE Connectivity Ltd. (NYSE:TEL)
157354,IQ8059421,,"Kronos Worldwide, Inc. (NYSE:KRO)"
160479,IQ8057672,,Extra Space Storage Inc. (NYSE:EXR)
17931,IQ8057072,,"Portola Pharmaceuticals, Inc."
157373,IQ7959935,,Vistra Corp. (NYSE:VST)
12151,IQ795040,,Coty Inc. (NYSE:COTY)
151630,IQ7931206,,"Halozyme Therapeutics, Inc. (NasdaqGS:HALO)"
183833,IQ79277661,,Terreno Realty Corporation (NYSE:TRNO)
294524,IQ792424,,LyondellBasell Industries N.V. (NYSE:LYB)
179077,IQ7910540,,Forestar Group Inc. (NYSE:FOR)
158494,IQ7904491,,Eaton Vance Tax-Advantaged Global Dividend Income Fund (NYSE:ETG)
183736,IQ78749412,,Generac Holdings Inc. (NYSE:GNRC)
178507,IQ7844318,,MSCI Inc. (NYSE:MSCI)
20143,IQ7828151,,"CareCloud, Inc. (NasdaqGM:MTBC)"
196855,IQ7714894,,"ExactTarget, LLC"
186342,IQ7704259,,LinkedIn Corporation
19274,IQ7701753,,"Inogen, Inc. (NasdaqGS:INGN)"
157074,IQ7689563,,"Enlink Midstream, Inc."
4682,IQ768583,,U.S. Bancorp.
219806,IQ7685655,,ICICI Bank Ltd
4060,IQ768440,,"DuPont de Nemours, Inc. (NYSE:DD)"
15377,IQ7675735,,Franklin Universal Trust (NYSE:FT)
162264,IQ7666044,,"Neenah, Inc."
187739,IQ764190,,"Vocera Communications, Inc."
29155,IQ7612672,,Cars.com Inc. (NYSE:CARS)
22000,IQ75963230,,Workiva Inc. (NYSE:WK)
145308,IQ754046,,"WW International, Inc. (NasdaqGS:WW)"
183830,IQ74859451,,Pebblebrook Hotel Trust (NYSE:PEB)
241216,IQ747487,,Syngenta AG
241637,IQ745257,,Anheuser-Busch InBev SA/NV (ENXTBR:ABI)
142546,IQ740990,,Marine Products Corporation (NYSE:MPX)
312079,IQ7406282,,DBV Technologies S.A. (ENXTPA:DBV)
149337,IQ740535,,"Nasdaq, Inc. (NasdaqGS:NDAQ)"
142953,IQ739693,,"Mondelez International, Inc. (NasdaqGS:MDLZ)"
166593,IQ738400,,"Synchronoss Technologies, Inc. (NasdaqGS:SNCR)"
277812,IQ734865,,"Grifols, S.A. (BME:GRF)"
157583,IQ7337626,,Western Asset Emerging Markets Debt Fund Inc. (NYSE:EMD)
176766,IQ725377,,TFS Financial Corporation (NasdaqGS:TFSL)
40460,IQ72004882,,Peraso Inc. (NasdaqCM:PRSO)
19151,IQ716384,,Telecom Italia S.p.A. (BIT:TIT)
185112,IQ714668,,Inphi Corporation
19906,IQ708221,,Grubhub Inc.
183640,IQ702261,,Iridium Communications Inc. (NasdaqGS:IRDM)
147988,IQ701179,,AECOM (NYSE:ACM)
160684,IQ701143,,Westlake Corporation (NYSE:WLK)
21918,IQ698476,,"Northeast Midstream Partners, LP"
175111,IQ697879,,"Acme Packet, Inc."
175163,IQ695365,,Warner Chilcott plc
142088,IQ694487,,CenterState Bank Corporation
35056,IQ694234,,Alcon Inc. (SWX:ALC)
15520,IQ693964,,Signet Jewelers Limited (NYSE:SIG)
184321,IQ69189070,,"Access Midstream Partners, L.P."
26123,IQ69172456,,NovoCure Limited (NasdaqGS:NVCR)
157413,IQ691187,,Trip.com Group Limited (NasdaqGS:TCOM)
156157,IQ6892938,,Marlin Business Services Corp.
186520,IQ6890373,,"Pandora Media, LLC"
30490,IQ688391455,,Apartment Investment and Management Company (NYSE:AIV)
144435,IQ687261,,Bunge Limited (NYSE:BG)
101204,IQ687130,,Sanofi (ENXTPA:SAN)
157480,IQ6859654,,The Gabelli Dividend & Income Trust (NYSE:GDV)
213288,IQ683719,,Embraer S.A. (BOVESPA:EMBR3)
141846,IQ683713,,ACADIA Pharmaceuticals Inc. (NasdaqGS:ACAD)
187406,IQ679630,,AMC Networks Inc. (NasdaqGS:AMCX)
17934,IQ6757990,,"Sprouts Farmers Market, Inc. (NasdaqGS:SFM)"
177287,IQ6724933,,Jazz Pharmaceuticals plc (NasdaqGS:JAZZ)
177088,IQ671980,,Blackstone Inc. (NYSE:BX)
174541,IQ6716694,,"InnerWorkings, Inc."
15929,IQ670064,,Lloyds Banking Group plc (LSE:LLOY)
175007,IQ666631,,Allegiant Travel Company (NasdaqGS:ALGT)
245207,IQ665704,,Genmab A/S (CPSE:GMAB)
171023,IQ66337678,,BlackRock TCP Capital Corp. (NasdaqGS:TCPC)
158743,IQ6631173,,"B&G Foods, Inc. (NYSE:BGS)"
2968,IQ658776,,JPMorgan Chase & Co. (NYSE:JPM)
62977,IQ658616,,Salix Pharmaceuticals Ltd.
179621,IQ6569181,,Philip Morris International Inc. (NYSE:PM)
163669,IQ6565801,,ITC Holdings Corp.
4818,IQ655659,,Fluor Corporation (NYSE:FLR)
63125,IQ655569,,Heritage Propane Partners LP
1177,IQ655542,,Aetna Inc.
36691,IQ654692030,,IAC Inc. (NasdaqGS:IAC)
36203,IQ653533044,,Vontier Corporation (NYSE:VNT)
36114,IQ652903406,,Churchill Capital Corp III
156521,IQ6491960,,Nuveen Diversified Dividend and Income Fund
36404,IQ648976269,,DraftKings Inc. (NasdaqGS:DKNG)
160225,IQ6477196,,Mastercard Incorporated (NYSE:MA)
180167,IQ6469353,,"Scripps Networks Interactive, Inc."
155326,IQ6452803,,Western Asset Global High Income Fund Inc. (NYSE:EHI)
19580,IQ639301,,TI Gotham Inc.
35614,IQ634127183,,Cerence Inc. (NasdaqGS:CRNC)
37168,IQ634057733,,"Chinook Therapeutics, Inc. (NasdaqGS:KDNY)"
36109,IQ633782760,,BlackRock Health Sciences Trust II (NYSE:BMEZ)
170335,IQ6330458,,"Proofpoint, Inc."
163963,IQ6314678,,"Columbia Property Trust, Inc."
13871,IQ62670872,,"Summit Midstream Partners, LP (NYSE:SMLP)"
178529,IQ623915,,Main Street Capital Corporation (NYSE:MAIN)
26847,IQ6233509,,"Tactile Systems Technology, Inc. (NasdaqGM:TCMD)"
154118,IQ6223657,,Eaton Vance Limited Duration Income Fund (NYSEAM:EVV)
18745,IQ62031630,,Essent Group Ltd. (NYSE:ESNT)
36191,IQ620281,,Carrier Global Corporation (NYSE:CARR)
177227,IQ618908,,Insulet Corporation (NasdaqGS:PODD)
24806,IQ6184505,,"BlackRock Income Opportunity Trust, Inc."
14748,IQ6184235,,"Nuveen Municipal Value Fund, Inc. (NYSE:NUV)"
147831,IQ6180081,,Nuveen AMT-Free Municipal Credit Income Fund (NYSE:NVG)
