permno,secinfostartdt,secinfoenddt,securitybegdt,securityenddt,securityhdrflg,hdrcusip,hdrcusip9,cusip,cusip9,primaryexch,conditionaltype,exchangetier,tradingstatusflg,securitynm,shareclass,usincflg,issuertype,securitytype,securitysubtype,sharetype,securityactiveflg,delactiontype,delstatustype,delreasontype,delpaymenttype,ticker,tradingsymbol,permco,siccd,naics,icbindustry,nasdcompno,nasdissuno,issuernm,yyyymmdd,dlycaldt,dlydelflg,dlyprc,dlyprcflg,dlycap,dlycapflg,dlyprevprc,dlyprevprcflg,dlyprevdt,dlyprevcap,dlyprevcapflg,dlyret,dlyretx,dlyreti,dlyretmissflg,dlyretdurflg,dlyorddivamt,dlynonorddivamt,dlyfacprc,dlydistretflg,dlyvol,dlyclose,dlylow,dlyhigh,dlybid,dlyask,dlyopen,dlynumtrd,dlymmcnt,dlyprcvol,shrstartdt,shrenddt,shrout,shrsource,shrfactype,shradrflg,disexdt,disseqnbr,disordinaryflg,distype,disfreqtype,dispaymenttype,disdetailtype,distaxtype,disorigcurtype,disdivamt,disfacpr,disfacshr,disdeclaredt,disrecorddt,dispaydt,dispermno,dispermco,vwretd,vwretx,ewretd,ewretx,sprtrn
16347.0,2019-12-27,2022-06-30,2016-11-01,2022-06-30,Y,01387210,013872106,01387210,013872106,N,RW,N/A,A,ALCOA CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AA,AA,55718.0,3355.0,331318,BASMAT,0.0,0.0,ALCOA CORP,20211015.0,2021-10-15,N,56.0,TR,10464496.0,BP,48.6,TR,2021-10-14,9081687.6,PB,0.1522633744855967,0.1522633744855967,0.0,NA,D1,0.0,0.0,1.0,NO,33374931.0,56.0,51.0,56.93,55.96,55.98,51.92,,,1868996136.0,2021-09-30,2021-10-28,186866.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0057212938554585,0.0057166586630046,-0.00045238158782013,-0.00046041811583564,0.0074601308442652
16347.0,2019-12-27,2022-06-30,2016-11-01,2022-06-30,Y,01387210,013872106,01387210,013872106,N,RW,N/A,A,ALCOA CORP; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AA,AA,55718.0,3355.0,331318,BASMAT,0.0,0.0,ALCOA CORP,20211018.0,2021-10-18,N,57.24,TR,10696209.84,BP,56.0,TR,2021-10-15,10464496.0,PB,0.02214285714285714,0.02214285714285714,0.0,NA,D3,0.0,0.0,1.0,NO,9883752.0,57.24,54.96,57.57,57.24,57.25,54.99,,,565745964.48,2021-09-30,2021-10-28,186866.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0032751758117229,0.0032707008067519,-0.001034970046021,-0.0011146003380418,0.0033748045098037
21020.0,2013-12-09,2022-06-30,1939-06-10,2022-06-30,Y,02376R10,02376R102,02376R10,02376R102,Q,RW,S,A,AMERICAN AIRLINES GROUP INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAL,AAL,20010.0,4512.0,481111,CONDIS,60017848.0,73578.0,AMERICAN AIRLINES GROUP INC,20200604.0,2020-06-04,N,16.72,TR,7070804.4,BP,11.85,TR,2020-06-03,5011305.75,PB,0.4109704641350211,0.4109704641350211,0.0,NA,D1,0.0,0.0,1.0,NO,399115016.0,16.72,12.63,18.18,16.73,16.74,12.85,1295956.0,57.0,6673203067.5199995,2020-04-24,2020-06-29,422895.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.0030380669049919,-0.003197924233973,0.0080116484314203,0.0079489033669233,-0.0033686961978674
21020.0,2013-12-09,2022-06-30,1939-06-10,2022-06-30,Y,02376R10,02376R102,02376R10,02376R102,Q,RW,S,A,AMERICAN AIRLINES GROUP INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAL,AAL,20010.0,4512.0,481111,CONDIS,60017848.0,73578.0,AMERICAN AIRLINES GROUP INC,20200630.0,2020-06-30,N,13.07,TR,6646826.92,BP,13.32,TR,2020-06-29,5632961.4,PB,-0.01876876876876877,-0.01876876876876877,0.0,NA,D1,0.0,0.0,1.0,NO,69555216.0,13.07,12.88,13.48,13.04,13.05,13.1,218175.0,58.0,909086673.12,2020-06-30,2020-07-16,508556.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.014671004377306,0.014610576443374,0.0097538810223341,0.0097258156165481,0.015409859828651
21020.0,2013-12-09,2022-06-30,1939-06-10,2022-06-30,Y,02376R10,02376R102,02376R10,02376R102,Q,RW,S,A,AMERICAN AIRLINES GROUP INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAL,AAL,20010.0,4512.0,481111,CONDIS,60017848.0,73578.0,AMERICAN AIRLINES GROUP INC,20200702.0,2020-07-02,N,12.5,TR,6356950.0,BP,12.81,TR,2020-07-01,6514602.36,PB,-0.02419984387197502,-0.02419984387197502,0.0,NA,D1,0.0,0.0,1.0,NO,85917154.0,12.5,12.42,13.42,12.49,12.5,13.35,261671.0,58.0,1073964425.0,2020-06-30,2020-07-16,508556.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.00501973554492,0.0048745227977634,0.0042455168440938,0.0041933553293347,0.0045412825420499
21020.0,2013-12-09,2022-06-30,1939-06-10,2022-06-30,Y,02376R10,02376R102,02376R10,02376R102,Q,RW,S,A,AMERICAN AIRLINES GROUP INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAL,AAL,20010.0,4512.0,481111,CONDIS,60017848.0,73578.0,AMERICAN AIRLINES GROUP INC,20200707.0,2020-07-07,N,11.91,TR,6056901.96,BP,12.8,TR,2020-07-06,6509516.8,PB,-0.06953125,-0.06953125,0.0,NA,D1,0.0,0.0,1.0,NO,77862690.0,11.91,11.91,12.54,11.92,11.93,12.51,265864.0,58.0,927344637.9,2020-06-30,2020-07-16,508556.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.010263606905937,-0.010268121957779,-0.013507386669517,-0.013516603037715,-0.010818562470377
21020.0,2013-12-09,2022-06-30,1939-06-10,2022-06-30,Y,02376R10,02376R102,02376R10,02376R102,Q,RW,S,A,AMERICAN AIRLINES GROUP INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAL,AAL,20010.0,4512.0,481111,CONDIS,60017848.0,73578.0,AMERICAN AIRLINES GROUP INC,20200731.0,2020-07-31,N,11.12,TR,5655198.32,BP,11.18,TR,2020-07-30,5685711.98,PB,-0.005366726296958855,-0.005366726296958855,0.0,NA,D1,0.0,0.0,1.0,NO,51601715.0,11.12,10.8,11.25,11.12,11.13,11.16,164430.0,58.0,573811070.8,2020-07-17,2020-09-29,508561.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0045242654159665,0.0044381232000887,-0.0071064461953938,-0.0071766651235521,0.0076704598031938
76868.0,2019-08-05,2022-06-30,1991-01-03,2022-06-30,Y,00036020,000360206,00036020,000360206,Q,RW,S,A,AAON INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAON,AAON,10817.0,3580.0,333415,INDL,60010726.0,14636.0,AAON INC,20150213.0,2015-02-13,N,23.37,TR,1262961.54,BP,23.4,TR,2015-02-12,1264582.8,PB,-0.001282051282051282,-0.001282051282051282,0.0,NA,D1,0.0,0.0,1.0,NO,87180.0,23.37,23.23,23.5,23.36,23.37,23.4,852.0,40.0,2037396.6,2014-12-31,2015-02-22,54042.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0047385268844664,0.0046737883239985,0.0071380250155926,0.007091314997524,0.0040747337043285
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140210.0,2014-02-10,N,528.99,TR,471853261.11,BP,519.68,TR,2014-02-07,463548843.52,PB,0.01791487068965517,0.01791487068965517,0.0,NA,D3,0.0,0.0,1.0,NO,12350146.0,528.99,518.0,531.99,528.92,528.99,518.66,120600.0,63.0,6533103732.54,2014-01-10,2014-03-27,891989.0,OBS,NA,N,,,,,,,,,,,,,,,,,,0.0015770598547533,0.0015478624263778,0.003987642005086,0.0039588711224496,0.0015692646848038
14593.0,2017-12-28,2022-06-30,1980-12-12,2022-06-30,Y,03783310,037833100,03783310,037833100,Q,RW,S,A,APPLE INC; COM NONE; CONS,,Y,CORP,EQTY,COM,NS,Y,N/A,UNAV,NACT,UNAV,AAPL,AAPL,7.0,3571.0,334220,TECH,60000006.0,8.0,APPLE INC,20140303.0,2014-03-03,N,527.76,TR,470756114.64,BP,526.24,TR,2014-02-28,469400291.36,PB,0.002888415931894193,0.002888415931894193,0.0,NA,D3,0.0,0.0,1.0,NO,8612772.0,527.76,522.81,530.65,527.67,527.75,523.42,95048.0,63.0,4545476550.72,2014-01-10,2014-03-27,891989.0,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.0066426456905902,-0.0067036156542599,-0.0038554696366191,-0.0039345682598651,-0.007378526031971
